timestamp,context_len,success,pass_fail,ttft_ms,total_latency_ms,output_tokens,tps_overall,tps_decode,error
1768814034.7622242,2048,True,False,27367.26,27367.26,0,0.0,0,
1768814062.1319768,2048,True,False,29187.6,29187.6,0,0.0,0,
1768814121.945312,4096,True,False,35986.31,35986.31,0,0.0,0,
1768814157.9518988,4096,True,False,42174.17,42174.17,0,0.0,0,
1768814237.117913,6144,True,False,39516.48,39516.48,0,0.0,0,
1768814276.637745,6144,True,False,50013.64,50013.64,0,0.0,0,
1768814366.83852,8192,True,False,45958.92,45958.92,0,0.0,0,
1768814412.7995489,8192,True,False,40164.46,40164.46,0,0.0,0,
1768814493.445073,10240,True,False,41767.72,41767.72,0,0.0,0,
1768814535.2161942,10240,True,False,51267.89,51267.89,0,0.0,0,
1768814636.5832288,12288,True,False,47169.44,47169.44,0,0.0,0,
1768814683.7570019,12288,True,False,44684.06,44684.06,0,0.0,0,
