timestamp,context_len,success,ttft_ms,total_latency_ms,output_tokens,tps_overall,tps_decode,error
1768808112.932939,1024,True,118.94,2675.38,51,19.06,19.56,
1768808115.608355,1024,True,110.67,2672.59,51,19.08,19.52,
1768808124.4612129,2048,True,110.64,2762.45,51,18.46,18.86,
1768808127.223833,2048,True,110.74,2727.8,51,18.7,19.11,
1768808136.6419032,3072,True,126.59,2893.22,51,17.63,18.07,
1768808139.535199,3072,True,115.38,2812.94,51,18.13,18.54,
1768808167.003329,4096,True,13103.61,15840.87,51,3.22,18.27,
1768808182.8443,4096,True,13703.92,16385.04,51,3.11,18.65,
1768808213.8988302,5120,True,13938.7,16590.31,51,3.07,18.86,
1768808230.4892201,5120,True,14317.74,17276.94,51,2.95,16.9,
1768808262.773599,6144,True,15206.41,17989.26,51,2.84,17.97,
1768808280.762897,6144,True,16156.33,19135.29,51,2.67,16.78,
1768808318.1680949,7168,True,17637.02,20883.38,51,2.44,15.4,
1768808339.051729,7168,True,18263.59,21796.26,51,2.34,14.15,
1768808378.7865138,8192,True,17985.71,20996.19,51,2.43,16.61,
1768808399.7829041,8192,True,19370.32,23192.28,51,2.2,13.08,
1768808441.732707,9216,True,22576.07,26248.45,51,1.94,13.62,
1768808467.981473,9216,True,19242.7,23132.86,51,2.2,12.85,
1768808510.4250638,10240,True,18339.71,21335.63,51,2.39,16.69,
1768808531.760802,10240,True,18616.3,21560.75,51,2.37,16.98,
1768808571.188559,11264,True,17287.25,20675.34,51,2.47,14.76,
1768808591.864192,11264,True,19214.71,22336.63,51,2.28,16.02,
1768808634.9147892,12288,True,21057.0,24453.32,51,2.09,14.72,
1768808659.368195,12288,True,19067.74,22328.6,51,2.28,15.33,
