timestamp,context_len,success,ttft_ms,total_latency_ms,output_tokens,tps_overall,tps_decode,error
1768806276.081357,2048,True,113.53,2729.49,51,18.68,19.11,
1768806278.810888,2048,True,110.51,2714.76,51,18.79,19.2,
1768806304.8096929,4096,True,12368.61,14977.15,51,3.41,19.17,
1768806319.786905,4096,True,12700.09,15327.83,51,3.33,19.03,
1768806348.563097,6144,True,13527.36,16161.11,51,3.16,18.98,
1768806364.724279,6144,True,13575.9,16203.96,51,3.15,19.03,
1768806395.133388,8192,True,13710.71,16362.79,51,3.12,18.85,
1768806411.496337,8192,True,14423.43,17088.92,51,2.98,18.76,
1768806444.0781949,10240,True,15335.52,18153.79,51,2.81,17.74,
1768806462.232063,10240,True,16349.48,20044.1,51,2.54,13.53,
1768806499.13102,12288,True,16971.11,19934.54,51,2.56,16.87,
1768806519.065661,12288,True,16672.67,19641.75,51,2.6,16.84,
